Date,Time,Home,Score,Away,League,Venue,H2H_URL
,,Holland Park Hawks,0-3,Broadbeach United,,,https://www.fctables.com/h2h/broadbeach-united/holland-park-hawks/
,,Magic United TFA,1-1,Rochedale Rovers,,,https://www.fctables.com/h2h/magic-united-tfa/rochedale-rovers/
,,SD Raiders FC,0-4,Macarthur FC,,,https://www.fctables.com/h2h/macarthur-fc/sd-raiders-fc/
,,Western United FC,0-0,Sydney FC,,,https://www.fctables.com/h2h/sydney-fc/western-united-fc1/
,,Gold Coast Knights,0-3,Auckland,,,https://www.fctables.com/h2h/auckland/gold-coast-knights/
,,Olympic Kingsway,-,Melbourne Victory,,,https://www.fctables.com/h2h/melbourne-victory/olympic-kingsway/
